Experiment Name,Type,Bait,Replicate,Bait ID
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6977_v5_dmso_1.raw,C,Empty DMSO,1,IDGT5;IDGT7;IDGT8
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6978_nls_dmso_1.raw,C,NLS DMSO,1,IDGT6;IDGT3
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6979_nes_dmso_1.raw,C,NES DMSO,1,IDGT6;IDGT3
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6980_mt-MAFG_dmso_1.raw,T,mT-MAFG DMSO,1,O15525
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6981_MAFG-mt_dmso_1.raw,T,MAFG-mT DMSO,1,O15525
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6982_v5_cddome_1.raw,C,Empty CDDOme,1,IDGT5;IDGT7;IDGT8
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6983_nls_cddome_1.raw,C,NLS CDDOme,1,IDGT6;IDGT3
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6984_nes_cddome_1.raw,C,NES CDDOme,1,IDGT6;IDGT3
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6985_mt-MAFG_cddome_1.raw,T,mT-MAFG CDDOme,1,O15525
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6986_MAFG-mt_cddome_1.raw,T,MAFG-mT CDDOme,1,O15525
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6987_v5_sulf_1.raw,C,Empty Sulforaphane,1,IDGT5;IDGT7;IDGT8
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6988_nls_sulf_1.raw,C,NLS Sulforaphane,1,IDGT6;IDGT3
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6989_nes_sulf_1.raw,C,NES Sulforaphane,1,IDGT6;IDGT3
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6990_mt-MAFG_sulf_1.raw,T,mT-MAFG Sulforaphane,1,O15525
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6991_MAFG-mt_sulf_1.raw,T,MAFG-mT Sulforaphane,1,O15525
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6992_v5_dmso_2.raw,C,Empty DMSO,2,IDGT5;IDGT7;IDGT8
\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6993_nls_dmso_2.raw,C,NLS DMSO,2,IDGT6;IDGT3
