Experiment Name,Type,Bait,Replicate,Bait ID
580_GFP__BirAFLAG_Go_RIPA_10102013.raw,C,BirA-FLAG,1,
14415_664_BirAFLAG_Go_RIPA_19112013_v2.raw,C,BirA-FLAG,1,
666_GFP__BirAFLAG_Go_RIPA_19112013.raw,C,BirA-FLAG,2,
14467_737_BirAFLAG_Go_RIPA_04122013_131212151115.raw,C,BirA-FLAG,2,
759_GFP_BirAFLAG_Go_RIPA_09122013.raw,C,BirA-FLAG,3,
823_FLAG_Alone_CTerm_Go_RIPA_14012014.raw,C,C-Flag,1,
825_BirAFLAG_Go_RIPA_14012014.raw,C,BirA-FLAG,3,
888_FLAG_Alone_CTerm_Go_RIPA_27012014.raw,C,C-Flag,2,
889_FLAG_Alone_CTerm_Go_RIPA_27012014_BR2.raw,C,C-Flag,3,
890_BirAFLAG_Go_RIPA_27012014.raw,C,BirA-FLAG,4,
891_GFP_BirAFLAG_Go_RIPA_27012014.raw,C,BirA-FLAG,4,
1309_FLAG_Alone_Cterm_Go_RIPA_02072014.raw,C,C-Flag,4,
1441_FLAG_Alone_Go_RIPA_05082014_BR1.raw,C,C-Flag,5,
1442_FLAG_Alone_Go_RIPA_05082014_BR2.raw,C,C-Flag,6,
1558_FLAG_Alone_Cterm_Go_RIPA_08092014.raw,C,C-Flag,7,
1668_FLAG_Alone_Cterm_Go_RIPA_22092014.raw,C,C-Flag,8,
2018_FLAG_Alone_Cterm_Go_RIPA_05112014.raw,C,C-Flag,9,
2402_FLAG_Alone_Cterm_Go_RIPA_30012015.raw,C,C-Flag,10,
2443_BirAFLAG_August_2014_Go_RIPA_06022015.raw,C,BirA-FLAG,1,
2454_FLAG_Alone_Cterm_Go_RIPA_06022015.raw,C,C-Flag,11,
2509_BirAFLAG_August_2014_Go_RIPA_13022015.raw,C,BirA-FLAG,2,
2538_BirAFLAG_August_2014_Go_RIPA_23022015.raw,C,BirA-FLAG,3,
2549_FLAG_Alone_Cterm_Go_RIPA_23022015.raw,C,C-Flag,12,
2623_BirAFLAG_August_2014_Go_RIPA_09032015.raw,C,BirA-FLAG,4,
2708_FLAG_Alone_Cterm_Go_RIPA_18032015.raw,C,C-Flag,13,
2723_BirAFLAG_August_2014_Go_RIPA_18032015.raw,C,BirA-FLAG,5,
2790_BirAFLAG_August_2014_Go_RIPA_02042015.raw,C,BirA-FLAG,6,
2801_FLAG_Alone_Cterm_Go_RIPA_02042015.raw,C,C-Flag,14,
3169_FLAG_Alone_Cterm_Go_RIPA_24072015.raw,C,C-Flag,15,
3170_Empty_Alone_Cterm_Go_RIPA_29072015.raw,C,C-Flag,16,
3181_BirAFLAG_August_2014_Go_RIPA_29072015.raw,C,BirA-FLAG,7,
3311_BirAFLAG_August_2014_Go_RIPA_06082015_BR2.raw,C,BirA-FLAG,8,
3351_BirAFLAG_August_2015_Go_RIPA_20082015.raw,C,BirA-FLAG,1,
3362_FLAG_Alone_Cterm_Aug_2015_Go_RIPA_20082015.raw,C,C-3xFLAG,1,
3379_FLAG_Alone_Cterm_Aug_2015_Go_RIPA_24082015.raw,C,C-3xFLAG,2,
3390_BirAFLAG_August_2015_Go_RIPA_24082015.raw,C,BirA-FLAG,2,
3391_BirAFLAG_August_2015_Go_RIPA_28082015.raw,C,BirA-FLAG,3,
3402_FLAG_Alone_Cterm_Aug_2015_Go_RIPA_28082015.raw,C,C-3xFLAG,3,
3403_FLAG_Alone_Cterm_Go_RIPA_31082015.raw,C,C-Flag,17,
3414_BirAFLAG_August_2014_Go_RIPA_31082015.raw,C,BirA-FLAG,9,
3415_BirAFLAG_August_2015_Go_RIPA_06092015.raw,C,BirA-FLAG,4,
3422_FLAG_Alone_Cterm_Aug_2015_Go_RIPA_06092015.raw,C,C-3xFLAG,4,
4082_BirAFLAG_August_2015_Go_RIPA_26012016.raw,C,BirA-FLAG,5,
4083_FLAG_Alone_Cterm_Aug_2015_Go_RIPA_26012016.raw,C,C-3xFLAG,5,
4090_FLAG_Alone_Cterm_Aug_2015_Go_RIPA_27012016.raw,C,C-3xFLAG,6,
4091_BirAFLAG_August_2015_Go_RIPA_27012016.raw,C,BirA-FLAG,6,
4207_FLAG_Alone_Cterm_Aug_2015_Go_RIPA_25022016.raw,C,C-3xFLAG,7,
4218_BirAFLAG_August_2015_Go_RIPA_25022016.raw,C,BirA-FLAG,7,
4231_BirAFLAG_August_2015_Go_RIPA_29022016.raw,C,BirA-FLAG,8,
4242_FLAG_Alone_Cterm_Aug_2015_Go_RIPA_29022016.raw,C,C-3xFLAG,8,
4564_BirAFLAG_August_2015_Go_RIPA_08042016.raw,C,BirA-FLAG,9,
4581_FLAG_Alone_Cterm_Aug_2015_Go_RIPA_08042016.raw,C,C-3xFLAG,9,
4610_FLAG_Alone_Cterm_Aug_2015_Go_RIPA_12042016.raw,C,C-3xFLAG,10,
4623_BirAFLAG_August_2015_Go_RIPA_12042016.raw,C,BirA-FLAG,10,
4920_BirAFLAG_May2016_Go_RIPA_30052016.raw,C,BirA-FLAG,1,
4977_BirAFLAG_May2016_Go_RIPA_03062016.raw,C,BirA-FLAG,2,
5421_Empty_July2016_Go_RIPA_19072016.raw,C,C-Flag,1,
5434_BirAFLAG_May2016_Go_RIPA_19072016.raw,C,BirA-FLAG,3,
5554_BirAFLAG_May2016_Go_RIPA_14072016_TR1.raw,C,BirA-FLAG,4,
5734_BirAFLAG_May2016_Go_RIPA_18082016.raw,C,BirA-FLAG,5,
5735_GFP_BirAFLAG_Go_RIPA_18082016.raw,C,BirA-FLAG,1,
5747_Empty_July2016_Go_RIPA_19082016.raw,C,C-Flag,2,
5896_Empty_July2016_Go_RIPA_26082016.raw,C,C-Flag,3,
5902_GFP_BirAFLAG_August2016_Go_RIPA_26082016.raw,C,BirA-FLAG,2,
5909_BirAFLAG_May2016_Go_RIPA_26082016.raw,C,BirA-FLAG,6,
6724_FLAG_alone_Go_RIPA_13112016.raw,C,C-Flag,1,
6725_BirAFLAG_May2016_test_Go_RIPA_13112016.raw,C,BirA-FLAG,5,
6730_BirAFLAG_May2016_Go_RIPA_13112016.raw,C,BirA-FLAG,6,
7015_BirAFLAG_May2016_Go_RIPA_31102016_TR1.raw,C,BirA-FLAG,7,
7024_BirAFLAG_May2016_test_Go_RIPA_31102016_TR1.raw,C,BirA-FLAG,8,
7756_GFP_BirAFLAG_April2017_Go_RIPA_06042017.raw,C,BirA-FLAG-GFP,1,
7909_BirAFLAG_April2017_Go_RIPA_06042017_TR1.raw,C,BirA-FLAG,1,
7946_Empty_April2017_Go_RIPA_04052017.raw,C,C-Flag,2,
7999_Empty_April2017_Go_RIPA_16052017.raw,C,C-Flag,3,
