P35237;A0A024QZX5;A0A087X1N8;+2	SERPINB6
Q00341;A0A024R4E5;H0Y394	HDLBP
Q9H4M9;A0A024R571;C9JC03;+1	EHD1
Q8NB49;A0A067XG54;A0A804HIW2	ATP11C
A0A075B6E5	ENAH
P58107;A0A075B730	EPPK1
Q5VU43;A0A8Q3WM32;A0A075B749;+3	PDE4DIP
O00623;A0A075B773;K7ELY8	PEX12
O14787;A0A075B780	TNPO2
O00124;A0A087WV67;A0A087WT23;+1	UBXN8
P49753;A0A087WT95	ACOT2
H7BYX6;A0A087WTE4;A0A087WTF6	NCAM1
Q8TCU4;A0A087WTU9;A0A804HL70;+6	ALMS1
Q96T88;A0A087WVR3;A0A087WTW0;+1	UHRF1
Q9UKL3;A0A087WTW5	CASP8AP2
Q9H0U3;A0A8I5KYH1;A0A087WU53;+5	MAGT1
O14979;A0A087WUK2	HNRNPDL
Q86TG7;A0A087WXK2;A0A087WUL4;+2	PEG10
O60841;A0A087WUT6	EIF5B
O75928;A0A087WUY7	PIAS2
Q99417;A0A087WV05	MYCBP
Q6UB35;A0A087WVM4;B7ZM99	MTHFD1L
Q13043;A0A087WVN8;A0A8V8TLK1;+1	STK4
Q00610;A0A8V8TRF0;A0A8V8TR47;+7	CLTC
A0A087WVZ6;A0A087WV57	ZMYND8
P19388;A0A087WVZ9;A0A0A0MQR7;+1	POLR2E
Q9Y371;A0A087WW40	SH3GLB1
Q15334;A0A087WW77	LLGL1
Q9NZM4;A0A087WWH3	GLTSCR1
P61962;A0A087WWI6;A0A8I5KRG1;+4	DCAF7
Q96T37;A0A494C001;A0A499FJY3;+1	RBM15
Q5VWQ0;A0A087WWP8	RSBN1
A0A087WWU8;D6R904	TPM3
Q68CZ1;A0A087WX34;A0A7P0TB06;+2	RPGRIP1L
O95299;E7ESZ7;A0A087WXC5;+16	NDUFA10
Q96T83;A0A087WXD1	SLC9A7
Q7Z3F1;A0A087WXK4	GPR155
Q9H270;A0A087WXL6;B7Z879;+1	VPS11
P18621;A0A087WXM6;J3QQT2;+8	RPL17;RPL17-C18orf32
Q96CW1;A0A087WY71;C9JGT8;+8	AP2M1
Q9Y624;A0A087WY82	F11R
Q53GG5;A0A2U3TZH4;A0A087WYF8;+1	PDLIM3
Q9BVV6;A0A087WYM5;A0A494C0M8;+3	KIAA0586
A0A087WYS3	ZMYND8
Q15185;B4DDC6;A0A087WYT3	PTGES3
A0A087WZ13;E9PAU2;Q8IY67	RAVER1
Q0D2I5;A0A087WZ16	IFFO1
Q9H6U8;A0A087WZ62;H0YCW6	ALG9
Q6ZSZ5;A0A804CAZ4;A0A3B3IPE9;+3	ARHGEF18
O43837;A0A087WZN1;A0A087X2E5	IDH3B
Q9Y496;J3KPF9;A0A087X011;+1	KIF3A
Q5SQN1;A0A087X0B7;A0A7P0T9T2;+6	SNAP47
A0A087X0H9	RBM26
Q07157;A0A087X0K9	TJP1
Q15070;A0A087X0L7;J3KNA0;+2	OXA1L
A0A8Q3WLG9;A0A8Q3WKX9;A0A087X0M4;+3	SLC4A1AP
Q7Z739;A0A087X0Q1;A0A024R7W5;+1	YTHDF3
O15550;A0A087X0R0;A0A6Q8PFK0;+12	KDM6A
Q9UMY4;A0A087X0R6	SNX12
P43003;A0A087X0U3;A0A7P0TAG7;+1	SLC1A3
P52272;A0A087X0X3;M0R019	HNRNPM
O95185;A0A087X152;E0CX15	UNC5C
Q9C0H9;A0A087X165;A0A590UJ70;+1	SRCIN1
Q53GS9;A0A087X1B2;B9A018	USP39
P53365;A0A087X1E4	ARFIP2
Q16718;A0A7I2V2W4;A0A087X1G1;+6	NDUFA5
Q9UL46;A0A087X1Z3;H0YM70	PSME2
Q9H1Z9;A0A087X235;Q6PJ65	TSPAN10
P63010;A0A087X253;A0A087WYD1;+2	AP2B1
Q2M389;A0A087X256	KIAA1033
A0A087X287;A0A494BZX7;Q969V6;+3	MKL1
Q8NB25;A0A087X2A7;H0YBA5;+1	FAM184A
A0A8V8TM73;A0A8Q3SI70;A0A087X2C4;+4	PCDH7
Q9BRJ2;A0A087X2D5;A0A0G2JMS5;+1	MRPL45
Q9ULT8;A0A8I5QJU2;A0A087X2H1;+4	HECTD1
P62333;A0A087X2I1;H0YJC0	PSMC6
A0A088AWN2;Q8TBZ3	WDR20
Q9BZ29;A0A8V8TQS9;X6RGR3;+6	DOCK9
Q14185;A0A096LNH6	DOCK1
Q13098;C9JFE4;A0A096LP07;+2	GPS1
A0A096LP25;E9PG46	AAK1
A0A096LPC5;Q9Y4E1;J3KP36	FAM21C
Q9NP73;A0A096LPI3	ALG13
Q9BY42;A0A0A0MQR2;A2A2L5	RTFDC1
Q8N2M8;F5H0Q6;A0A0A0MQS2;+1	CLASRP
Q9BV38;U3KQC1;A0A0A0MQU0;+1	WDR18
Q9H2E6;A0A0A0MQU6;B3KU01;+2	SEMA6A
Q9P2K5;A0A0A0MQW0;A0A0A0MR39;+1	MYEF2
Q9NR56;C9JP00;A0A0A0MQX8;+4	MBNL1;MBNL2;MBLL
Q5VU97;A0A0A0MQY7	CACHD1
O95478;A0A0A0MQZ6	NSA2
P45880;A0A0A0MR02;Q5JSD2;+1	VDAC2
O15258;Q5T092;A0A0A0MR06;+2	RER1
A0A0A0MR08;A0A8I5KXK1;O94966;+6	USP19
Q9BUJ2;A0A0A0MRA5;B7Z4B8;+2	HNRNPUL1
A0A0A0MRA8	EPB41L3
