Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6977_v5_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6978_nls_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6979_nes_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6980_mt-MAFG_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6981_MAFG-mt_dmso_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6982_v5_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6983_nls_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6984_nes_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6985_mt-MAFG_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6986_MAFG-mt_cddome_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6987_v5_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6988_nls_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6989_nes_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6990_mt-MAFG_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6991_MAFG-mt_sulf_1.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6992_v5_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6993_nls_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6994_nes_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6995_mt-MAFG_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6996_MAFG-mt_dmso_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6997_v5_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6998_nls_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA6900-MA6999\MA6999_nes_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7000_mt-MAFG_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7001_MAFG-mt_cddome_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7002_v5_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7003_nls_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7004_nes_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7005_mt-MAFG_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7006_MAFG-mt_sulf_2.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7007_v5_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7008_nls_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7009_nes_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7010_mt-MAFG_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7011_MAFG-mt_dmso_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7012_v5_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7013_nls_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7014_nes_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7015_mt-MAFG_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7016_MAFG-mt_cddome_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7017_v5_sulf_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7018_nls_sulf_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7019_nes_sulf_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7020_mt-MAFG_sulf_3.raw	\\storage1.ris.wustl.edu\bmajor\Active\RIS_Major_Active_Mass Spec\MA7000-MA7099\MA7021_MAFG-mt_sulf_3.raw
A0A1W2PQ72	MSD7_HUMAN	MSANTD7	Myb/SANT-like DNA-binding domain-containing protein 7	1	1																			1446.18					1768.39																					
A0A8I5KQE6;P08865	RPSA2_HUMAN;RSSA_HUMAN	RPSA;RPSA2	Small ribosomal subunit protein uS2B	5	0	73366.8	78310.8	71908.7	69302.6	68004.4	91605.8	1.1285e+06	116868	57429	41402	73190.9	91589.9		54067.5	63140.7	379025	78973.7	87420.8	34191.6	56822.9	479766	65206.1	84789.3	45852.7	45673.9	488199	518896	93233.3	69023.5	52873.5	57129.8	64124.8	89566.3	104952	81912.2	84092.6	59251.7	64818	59449	40395.2	73263.5	79149.1	68193.9	58258.9	195662
A0AVK6	E2F8_HUMAN	E2F8	Transcription factor E2F8	10	10				66997.1	123148				105458	133061				60142.8	93221.2				90259.3	109611				102687	126977				66780.5	83794.6				61546.6	41068.2				70377.8	85084.6				90242.8	98004
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	7	7	43734.2	19569	39455.4	22701.8	25788.3	24102.1	23370.9	21448	29836.5	13734.1		24724.5		25324.1	31513.8	13858.8	45031.7	34338.4	16301.8	26405.9	16675.6	37993.8	32225.6	20044.6	15203.2	18463.3	17005.7	46466.2	26297.5	32230	38354.7		39652.3	23177.7	29583.4	38839.8	32769.4	24833.8	26964		31207.9	32647.2	48312.5	24114.3	28950
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	4	4	57459.9	58716.5	49641.2	49031.9	33727	36038.3	37438.1	143673	24822.7	25676.7	79380.2	44414.8		15221.6	23408.7	33317.3	30584.6	24410.5	14978.2	17883.8	45143.5	36168.1	44897.5	16045.9	20259.7	48603.7	60528.7	52946.3	46982.6	45057.4	79668	82712.7	114742	43576.1	45518.1	43577.6	45308.5	45840.6	34517.2	33170.6	55769.2	50052.5	55415.4	30653	21540.2
A0JNW5	BLT3B_HUMAN	BLTP3B	Bridge-like lipid transfer protein family member 3B	3	3					2780.31																				2027.07			3073.26																	
A0M8Q6;B9A064;P0CF74;P0CG04;P0DOY2;P0DOY3	IGLC1_HUMAN;IGLC2_HUMAN;IGLC3_HUMAN;IGLC6_HUMAN;IGLC7_HUMAN;IGLL5_HUMAN	IGLC1;IGLC2;IGLC3;IGLC6;IGLC7;IGLL5	Immunoglobulin lambda constant 7	1	0																																								9922.34					
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	8	8	31167.5		17775.5	18657.6	16710.7	22416.4	11292.4	29542.2	49739.4	52455.3	30731.8			14418.5	18051	27265.9		21788.8	11309.9	22747	21196		42174.7	11339.7	28759.2	18368		21917	16739.6	20734	28325.8		38450.2					57165.6		18759.7	61789.6		39154.8	38344.8	28548.1
A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	3	3					4462.55				7616.6	6115.08				3415.28					5689.07	3812.44		3418.06	3888.52		6470.55			4356.42	5622.58	4528.37											2822.4		3889.62	7842.73	3637.23
A2A3N6	PIPSL_HUMAN	PIPSL	Putative PIP5K1A and PSMD4-like protein	1	0	4084.71									3026.03									2379.02	2964.29		4079.75		3354.31				3602.98	3413.62	3343.9													5673.12		
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	22	17				128251	165047				162829	203976				105514	191719				139173	178267		39234.6		178068	187910				126048	157189				130766	96919.4				153393	158732				183128	173203
A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5	1	1																		124029																						88328.5					
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	6	6			4106.26	5147.81	4979.81	3528.25	9211.76		6233.26	6563.73				5340.74	7345.52	7823.35		7664.44	6163.9	5759.72	7018.49	3097.98	13411.6	5629.7	8070.88	11414.6	9152.81	8988.62	8361.85	8315.43				4400.82				8440.89			4588.57		7090.24	8039.52	8887.71
A6H8Y1	BDP1_HUMAN	BDP1	Transcription factor TFIIIB component B'' homolog	2	2									3385.5	3035.83				2266.32	3371.76				1712.89	2500.67				4556					1725.61	1554.94					2112.27									1884.12	2635.19
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1	1	20728.4	27659.5	12440.9	22585.1	18645.4	18025.7	24334.6		16751.3	12459.9		38914.2		21060.5	20820.5	20231.6	34004.5	15961.7	9999.86	11043.6	14004.2	11795.5		10634.7	7763.84	12018.6	13171.5	17555.1	15050.2	18778.9	37401.9		35902.6				28163.5	22705.5	18238.2		28574.5	17331.5	15019.7	15132.4	15440
A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316	2	2					23770.7				32146.6	25425.4				35892.5	42605.2				29359.4	46325.2				69462.1	42034.3					43735.6														60034.3	42380.1
A6NHG4;P30046	DDTL_HUMAN;DOPD_HUMAN	DDT;DDTL	D-dopachrome decarboxylase-like protein	1	0																			1314.79	2553.23																									1685.55
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	8552.12	7862.98	8785.64	24223.7	6195.64	9844.28	15259.2		20981.3		12819.8			5620.83	13403.1	24433.6		21239.2	15342.9	25476.3	21157	21002.7	57634.3	25274.3	19485.2	24466.6	22421.4	22830.2	20678.5	26658.5	29820.1			33757		36904.3	19986.5	17955.3	10209.5		19758.6	21708.7	14000.5	5579.72	47050.1
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	32	32				299260	210089		101430		371309	203241				226266	211378	46045.4	57918.3		300866	250357		72874.3		391774	277313			33085.8	308992	233930				328654	181003				299802	172397				344607	174072
A6NIE9;P05981;P20231;Q15661;Q9BZJ3	HEPS_HUMAN;PRS29_HUMAN;TRYB1_HUMAN;TRYB2_HUMAN;TRYD_HUMAN	HPN;PRSS29P;TPSAB1;TPSB2;TPSD1	Putative serine protease 29	1	0				8336.08	4519.05				3408.17	5308.66				2595.89	5177.58				1705.77	4018.23				2428.49					2202.26	2303.39									4087.57						
A6NJT0	UNC4_HUMAN	UNCX	Homeobox protein unc-4 homolog	1	1				25108.5	30511.9				57490.6	42745.6				16721.1	27839.8				32224	63418.1				43585.7	38629.3				43997.9	34883.2				54094.5					31292.7					56607.9	51155
